Iteration	Posterior	Likelihood	Prior	beta_scale	neo_matrix_probs[1]	neo_matrix_probs[2]	neo_matrix_probs[3]	neo_matrix_probs[4]	rate_log_sd	tree_length	two_matrix_probs[1]	two_matrix_probs[2]	two_matrix_probs[3]	two_matrix_probs[4]
348	-135.2746	-399.9727	264.6981	2.004471	0.628761	0.06575	0.0169788	0.28851	0.9370839	3.920305	0.0323983	0.738939	0.031353	0.19731
354	-126.706	-392.562	265.856	2.546694	0.252194	0.132444	0.0342012	0.581161	1.004481	2.980189	0.142528	0.558185	0.0772728	0.222014
360	-125.702	-390.2716	264.5696	6.322045	0.266437	0.0167362	0.102847	0.613981	1.360674	2.431175	0.142528	0.558185	0.0772728	0.222014
366	-117.0134	-379.7175	262.704	13.99362	0.476564	0.125522	0.0980008	0.299914	1.20743	2.389504	0.173717	0.148957	0.488744	0.188582
372	-105.2066	-369.2122	264.0056	6.056458	0.440174	0.225092	0.0119677	0.322766	1.335854	2.855899	0.199075	0.0828872	0.521638	0.1964
378	-117.639	-383.3264	265.6873	2.201637	0.284344	0.217876	0.185361	0.312419	1.247358	3.077392	0.0868398	0.594528	0.232959	0.0856728
384	-125.128	-390.8475	265.7195	1.894679	0.759806	0.0817881	0.101259	0.0571468	1.127056	3.264974	0.0311203	0.639858	0.190173	0.138849
390	-123.23	-389.1169	265.8869	1.535969	0.405917	0.111293	0.0790938	0.403696	0.9955582	3.415044	0.171265	0.61409	0.153768	0.0608766
396	-129.0888	-392.7471	263.6583	6.059115	0.261961	0.0901013	0.181671	0.466267	1.118187	3.19378	0.152987	0.374823	0.205306	0.266884
402	-114.313	-381.3636	267.0506	2.808075	0.711205	0.00596364	0.0846415	0.198189	1.324959	1.918845	0.022712	0.131873	0.818773	0.0266417
408	-119.0543	-386.6383	267.584	2.162948	0.469598	0.00344627	0.380409	0.146547	1.617515	1.644563	0.00636283	0.0732182	0.85412	0.0662989
414	-114.8085	-379.969	265.1605	8.039516	0.259641	0.00236307	0.58094	0.157056	1.651457	1.435862	0.0875948	0.127856	0.55218	0.232369
420	-111.0208	-376.7333	265.7125	5.583792	0.830738	0.00866819	0.153557	0.00703685	1.689949	1.640705	0.344886	0.157023	0.117634	0.380458
